datetime,latitude,longitude
2019/12/11 16:52:30.236,  35.63942810, 139.29623850
2019/12/11 16:52:30.759,  35.63942720, 139.29623590
2019/12/11 16:52:31.143,  35.63942490, 139.29622340
2019/12/11 16:52:31.674,  35.63942710, 139.29621500
2019/12/11 16:52:32.091,  35.63942760, 139.29619100
2019/12/11 16:52:32.686,  35.63942920, 139.29617660
2019/12/11 16:52:33.134,  35.63942700, 139.29615180
2019/12/11 16:52:33.749,  35.63942240, 139.29612170
2019/12/11 16:52:34.520,  35.63941960, 139.29610280
2019/12/11 16:52:34.987,  35.63941540, 139.29608750
2019/12/11 16:52:35.436,  35.63941480, 139.29607820
2019/12/11 16:52:36.047,  35.63941020, 139.29607360
2019/12/11 16:52:36.752,  35.63940470, 139.29607710
2019/12/11 16:52:37.743,  35.63940260, 139.29607850
2019/12/11 16:52:38.799,  35.63940080, 139.29608010
2019/12/11 16:52:39.453,  35.63939920, 139.29608190
2019/12/11 16:52:40.764,  35.63939830, 139.29608590
2019/12/11 16:52:41.741,  35.63931610, 139.29602480
2019/12/11 16:52:42.784,  35.63916800, 139.29591520
2019/12/11 16:52:43.741,  35.63895620, 139.29575370
2019/12/11 16:52:44.745,  35.63874590, 139.29558870
2019/12/11 16:52:45.384,  35.63864400, 139.29550620
2019/12/11 16:52:46.734,  35.63850870, 139.29539680
2019/12/11 16:52:47.769,  35.63845490, 139.29535290
2019/12/11 16:52:48.780,  35.63845050, 139.29534740
2019/12/11 16:52:49.749,  35.63847100, 139.29536170
2019/12/11 16:52:50.755,  35.63850380, 139.29538680
2019/12/11 16:52:51.221,  35.63852610, 139.29540380
2019/12/11 16:52:51.744,  35.63855120, 139.29543820
2019/12/11 16:52:52.752,  35.63856900, 139.29546430
2019/12/11 16:52:53.742,  35.63858200, 139.29548200
2019/12/11 16:52:54.751,  35.63858800, 139.29548790
2019/12/11 16:52:55.736,  35.63859330, 139.29549390
2019/12/11 16:52:56.736,  35.63933800, 139.29608940
2019/12/11 16:52:57.092,  35.63937230, 139.29611760
2019/12/11 16:52:57.743,  35.63939150, 139.29613490
2019/12/11 16:52:58.766,  35.63940050, 139.29614100
2019/12/11 16:52:59.737,  35.63940530, 139.29614370
2019/12/11 16:53:00.743,  35.63940790, 139.29614510
2019/12/11 16:53:01.751,  35.63940930, 139.29614580
2019/12/11 16:53:02.742,  35.63941010, 139.29614620
2019/12/11 16:53:03.752,  35.63941070, 139.29614650
2019/12/11 16:53:04.757,  35.63941090, 139.29614650
2019/12/11 16:53:05.748,  35.63941100, 139.29614660
2019/12/11 16:53:06.755,  35.63941100, 139.29614660
2019/12/11 16:53:07.763,  35.63941110, 139.29614660
2019/12/11 16:53:08.752,  35.63941110, 139.29614660
2019/12/11 16:53:09.767,  35.63941110, 139.29614660
2019/12/11 16:53:10.752,  35.63941110, 139.29614660
2019/12/11 16:53:11.742,  35.63941110, 139.29614660
2019/12/11 16:53:12.752,  35.63941110, 139.29614660
2019/12/11 16:53:13.790,  35.63941110, 139.29614660
2019/12/11 16:53:14.684,  35.63941110, 139.29614660
2019/12/11 16:53:15.760,  35.63941110, 139.29614660
2019/12/11 16:53:16.747,  35.63941110, 139.29614660
2019/12/11 16:53:17.740,  35.63941110, 139.29614660
2019/12/11 16:53:18.777,  35.63941110, 139.29614660
2019/12/11 16:53:19.756,  35.63941110, 139.29614660
2019/12/11 16:53:20.574,  35.63941110, 139.29614660
2019/12/11 16:53:20.734,  35.63941110, 139.29614660
2019/12/11 16:53:21.749,  35.63941110, 139.29614660
2019/12/11 16:53:22.765,  35.63941110, 139.29614660
2019/12/11 16:53:23.748,  35.63941110, 139.29614660
2019/12/11 16:53:24.742,  35.63941110, 139.29614660
2019/12/11 16:53:25.748,  35.63941110, 139.29614660
2019/12/11 16:53:26.415,  35.63941110, 139.29614660
2019/12/11 16:53:26.741,  35.63941110, 139.29614660
2019/12/11 16:53:27.751,  35.63941110, 139.29614660
2019/12/11 16:53:28.757,  35.63941110, 139.29614660
2019/12/11 16:53:29.760,  35.63941110, 139.29614660
2019/12/11 16:53:30.751,  35.63941110, 139.29614660
2019/12/11 16:53:31.789,  35.63941110, 139.29614660
2019/12/11 16:53:32.262,  35.63941110, 139.29614660
2019/12/11 16:53:32.748,  35.63941110, 139.29614660
2019/12/11 16:53:33.741,  35.63941110, 139.29614660
2019/12/11 16:53:34.793,  35.63941110, 139.29614660
2019/12/11 16:53:35.752,  35.63941110, 139.29614660
2019/12/11 16:53:36.750,  35.63941110, 139.29614660
2019/12/11 16:53:37.754,  35.63941110, 139.29614660
2019/12/11 16:53:38.117,  35.63941110, 139.29614660
2019/12/11 16:53:38.758,  35.63941110, 139.29614660
2019/12/11 16:53:39.766,  35.63941110, 139.29614660
2019/12/11 16:53:40.739,  35.63941110, 139.29614660
2019/12/11 16:53:41.747,  35.63941110, 139.29614660
2019/12/11 16:53:42.757,  35.63941110, 139.29614660
2019/12/11 16:53:43.745,  35.63941110, 139.29614660
2019/12/11 16:53:44.741,  35.63941110, 139.29614660
2019/12/11 16:53:45.742,  35.63941110, 139.29614660
2019/12/11 16:53:46.750,  35.63941110, 139.29614660
2019/12/11 16:53:47.760,  35.63941110, 139.29614660
2019/12/11 16:53:48.752,  35.63941110, 139.29614660
2019/12/11 16:53:49.756,  35.63941110, 139.29614660
2019/12/11 16:53:50.746,  35.63941110, 139.29614660
2019/12/11 16:53:51.754,  35.63941110, 139.29614660
2019/12/11 16:53:52.744,  35.63941110, 139.29614660
2019/12/11 16:53:53.752,  35.63941110, 139.29614660
2019/12/11 16:53:54.757,  35.63941110, 139.29614660
2019/12/11 16:53:55.692,  35.63941110, 139.29614660
2019/12/11 16:53:56.757,  35.63941110, 139.29614660
2019/12/11 16:53:57.749,  35.63941110, 139.29614660
2019/12/11 16:53:58.740,  35.63941110, 139.29614660
2019/12/11 16:53:59.747,  35.63941110, 139.29614660
2019/12/11 16:54:00.774,  35.63941110, 139.29614660
2019/12/11 16:54:01.545,  35.63941110, 139.29614660
2019/12/11 16:54:01.744,  35.63941110, 139.29614660
2019/12/11 16:54:02.757,  35.63941110, 139.29614660
2019/12/11 16:54:03.753,  35.63941110, 139.29614660
2019/12/11 16:54:04.768,  35.63941110, 139.29614660
2019/12/11 16:54:05.756,  35.63941110, 139.29614660
2019/12/11 16:54:06.747,  35.63941110, 139.29614660
2019/12/11 16:54:07.391,  35.63941110, 139.29614660
2019/12/11 16:54:07.742,  35.63941110, 139.29614660
2019/12/11 16:54:08.748,  35.63941110, 139.29614660
2019/12/11 16:54:09.740,  35.63941110, 139.29614660
2019/12/11 16:54:10.748,  35.63941110, 139.29614660
2019/12/11 16:54:11.752,  35.63941110, 139.29614660
2019/12/11 16:54:12.734,  35.63941110, 139.29614660
2019/12/11 16:54:13.247,  35.63941110, 139.29614660
2019/12/11 16:54:13.752,  35.63941110, 139.29614660
2019/12/11 16:54:14.755,  35.63941110, 139.29614660
2019/12/11 16:54:15.748,  35.63941110, 139.29614660
2019/12/11 16:54:16.741,  35.63941110, 139.29614660
2019/12/11 16:54:17.748,  35.63941110, 139.29614660
2019/12/11 16:54:18.741,  35.63941110, 139.29614660
2019/12/11 16:54:19.106,  35.63941110, 139.29614660
2019/12/11 16:54:19.756,  35.63941110, 139.29614660
2019/12/11 16:54:20.757,  35.63941110, 139.29614660
2019/12/11 16:54:21.756,  35.63941110, 139.29614660
2019/12/11 16:54:22.749,  35.63941110, 139.29614660
2019/12/11 16:54:23.755,  35.63941110, 139.29614660
2019/12/11 16:54:24.747,  35.63941110, 139.29614660
2019/12/11 16:54:25.740,  35.63941110, 139.29614660
2019/12/11 16:54:26.745,  35.63941110, 139.29614660
2019/12/11 16:54:27.756,  35.63941110, 139.29614660
2019/12/11 16:54:28.753,  35.63941110, 139.29614660
2019/12/11 16:54:29.757,  35.63941110, 139.29614660
2019/12/11 16:54:30.758,  35.63941110, 139.29614660
2019/12/11 16:54:31.749,  35.63941110, 139.29614660
2019/12/11 16:54:32.758,  35.63941110, 139.29614660
2019/12/11 16:54:33.746,  35.63941110, 139.29614660
2019/12/11 16:54:34.740,  35.63941110, 139.29614660
2019/12/11 16:54:35.738,  35.63941110, 139.29614660
2019/12/11 16:54:36.672,  35.63941110, 139.29614660
2019/12/11 16:54:36.785,  35.63941110, 139.29614660
2019/12/11 16:54:37.759,  35.63941110, 139.29614660
2019/12/11 16:54:38.739,  35.63941110, 139.29614660
2019/12/11 16:54:39.756,  35.63941110, 139.29614660
