datetime,accX[m/s^2],accY[m/s^2],accZ[m/s^2],gyroX[rad/s],gyroY[rad/s],gyroZ[rad/s],angleX[rad],angleY[rad],angleZ[rad],step
2019/09/12 18:08:18.091,   0.75790000,   0.44489998,  -0.00490000,   0.17348573,   0.35796702,   0.01954769,   0.05386710,  -0.07961499,  -1.69214725,    1
2019/09/12 18:08:18.110,   0.05440000,  -0.07900000,  -0.38349998,   0.13072516,   0.38362336,   0.00733038,   0.05141647,  -0.07325566,  -1.69305205,    1
2019/09/12 18:08:18.130,  -0.14590000,   0.02310000,  -0.87049997,   0.07574729,   0.43982297,   0.04764749,   0.04881287,  -0.06558073,  -1.68398750,    1
2019/09/12 18:08:18.149,  -0.80629998,  -0.07770000,  -0.69369996,  -0.02076942,   0.56810468,   0.04031711,   0.04851715,  -0.04872768,  -1.67656171,    1
2019/09/12 18:08:18.173,  -0.90179998,  -0.37739998,  -0.09999999,  -0.10506882,   0.67073005,   0.02565634,   0.04895609,  -0.03734470,  -1.67354941,    1
2019/09/12 18:08:18.189,  -0.73280001,  -0.19239999,   0.06320000,  -0.07941248,   0.69882983,   0.07452556,   0.05286659,  -0.01690081,  -1.67535722,    1
2019/09/12 18:08:18.210,  -0.62599999,  -0.22600000,  -0.15300000,  -0.01832596,   0.59620446,   0.11850785,   0.05445976,  -0.00285947,  -1.67269766,    1
2019/09/12 18:08:18.230,  -0.28520000,  -0.27309999,  -0.30750000,  -0.00733038,   0.45326200,   0.15882497,   0.05768691,   0.01204281,  -1.67674768,    1
2019/09/12 18:08:18.249,  -0.17600000,   0.48269999,  -0.12940000,  -0.04276057,   0.39950585,   0.18814649,   0.05776890,   0.02127795,  -1.66939521,    1
2019/09/12 18:08:18.272,   0.21679999,  -0.13130000,  -0.52869999,  -0.11117747,   0.35674530,   0.18814649,   0.06017932,   0.02740188,  -1.67276239,    1
2019/09/12 18:08:18.291,   0.15079999,   0.28119999,  -0.52520001,  -0.21502456,   0.22357668,   0.17715092,   0.06227371,   0.03475501,  -1.67182934,    1
2019/09/12 18:08:18.310,   2.54859996,   0.14219999,   2.66890001,  -0.27244589,   0.21868975,   0.14172074,   0.06412301,   0.02011073,  -1.67220271,    1
2019/09/12 18:08:18.330,  -0.24129999,   0.99849999,   1.37889993,  -0.15271631,   1.11299646,  -0.09162979,   0.06949934,   0.02465783,  -1.66804874,    1
2019/09/12 18:08:18.350,  -0.80559999,  -0.23959999,  -1.34949994,  -0.17715092,   0.65729100,   0.02565634,   0.07631889,   0.05653438,  -1.67140853,    1
2019/09/12 18:08:18.375,  -1.45349991,  -0.78829998,   0.08280000,  -0.40561453,   0.38240165,   0.21991149,   0.09459838,   0.09111523,  -1.65977967,    1
2019/09/12 18:08:18.391,  -1.45349991,  -0.78829998,   0.08280000,  -0.42271873,   0.23579398,   0.25900686,   0.09459838,   0.09111523,  -1.65902162,    1
2019/09/12 18:08:18.410,  -0.96199995,   0.18079999,  -1.23850000,  -0.42271873,   0.28955013,   0.32253686,   0.10252900,   0.09640663,  -1.65559101,    1
2019/09/12 18:08:18.429,  -0.59880000,   0.26940000,  -1.13940001,  -0.58887410,   0.24923302,   0.31887165,   0.10865094,   0.11078408,  -1.64270151,    1
2019/09/12 18:08:18.450,   0.54429996,   0.52260000,  -0.53259999,  -0.75502944,   0.30909780,   0.31154126,   0.11964420,   0.11663114,  -1.62963021,    1
2019/09/12 18:08:18.471,  -0.06270000,   0.40140000,   2.44560003,  -0.83199847,   0.75991637,   0.18325958,   0.12842941,   0.12197781,  -1.61918569,    1
2019/09/12 18:08:18.492,  -0.71689999,   0.84990001,   3.00629997,  -0.51923543,   0.83688539,   0.18081611,   0.14445649,   0.13797256,  -1.59636307,    1
2019/09/12 18:08:18.510,  -1.32719994,  -0.43809998,   0.29189998,  -0.15638150,   0.62674773,   0.29810223,   0.15735890,   0.16695130,  -1.57162285,    1
2019/09/12 18:08:18.529,  -0.75830001,  -0.47749999,  -0.29040000,  -0.24923302,   0.33841935,   0.40317106,   0.15939350,   0.18050200,  -1.56415915,    1
2019/09/12 18:08:18.550,  -0.86869997,   1.31629992,   0.10730000,  -0.43004912,  -0.03909538,   0.39584067,   0.15012641,   0.19658652,  -1.55733037,    1
2019/09/12 18:08:18.569,  -0.08980000,   2.13769984,  -0.56779999,  -0.58154368,  -0.28099802,   0.27000242,   0.15701929,   0.19725181,  -1.54210603,    1
2019/09/12 18:08:18.594,  -2.51099992,   2.59850001,   1.40799999,  -0.75014251,  -0.27366763,   0.10140363,   0.14681698,   0.20636752,  -1.54373217,    1
2019/09/12 18:08:18.609,  -2.51099992,   2.59850001,   1.40799999,  -0.61208695,  -0.32498032,   0.32742378,   0.16109915,   0.20166253,  -1.53755057,    1
2019/09/12 18:08:18.631,  -2.23129988,   1.60609996,   1.19729996,  -0.12583824,  -0.55955255,   0.85154617,   0.15681212,   0.21250226,  -1.52855945,    1
2019/09/12 18:08:18.649,  -1.86949992,   0.84059995,   0.53160000,   0.23212878,  -0.77091193,   1.28281701,   0.15572879,   0.20400509,  -1.51966834,    1
2019/09/12 18:08:18.671,  -0.92389995,   0.39600000,  -0.00340000,   0.41538835,  -0.79168135,   1.51005888,   0.14211696,   0.20090061,  -1.52215993,    1
2019/09/12 18:08:18.693,  -0.60200000,  -0.21139999,  -0.18130000,   0.54489177,  -0.77579886,   1.56259322,   0.12792614,   0.18891886,  -1.51946247,    1
2019/09/12 18:08:18.710,   1.44939995,  -1.90769994,   0.11009999,   0.71959925,  -0.70738196,   1.42453778,   0.12896521,   0.16331454,  -1.50957537,    1
2019/09/12 18:08:18.730,   1.10290003,  -0.85499996,   0.50319999,   0.97982782,  -0.64263022,   0.91507614,   0.11000454,   0.15232173,  -1.52099347,    1
2019/09/12 18:08:18.750,   0.72499996,  -1.24059999,  -1.59609997,   1.25105202,  -0.63163465,   0.44593161,   0.10359552,   0.13525945,  -1.53513587,    1
2019/09/12 18:08:18.769,   1.19050002,  -2.11100006,  -2.47729993,   1.41842914,   0.25289822,   0.19914207,   0.07749478,   0.12316883,  -1.55536461,    1
